Gene Gotimer,"Gene Gotimer",,"Integrating Test with a DevOps Approach (2-Day)"
Conrad Fujimoto,"Conrad Fujimoto",,"Software Tester Certification-Foundation Level (3-Day)"
Max Saperstone,"Max Saperstone",,"Mobile Application Testing (2-Day)"
Rob Sabourin,"Rob Sabourin",,"Agile Tester Certification (2-Day)"
Michael Bolton,"DevelopSense",,"Critical Thinking for Software Testers"
Jeff "Cheezy" Morgan,"LeanDog",,"Selenium Test Automation: From the Ground Up"
Rob Sabourin,"amibug.com",,"Just in Time Testing"
Jennifer Bonine,"tap|QA",,"What's Your Leadership IQ?"
Chip Groder,"Intervise Consultants Inc.",,"Test Data: Create, Secure, Manage, and Reuse NEW"
Hans Buwalda,"LogiGear",,"Test Design for Better Test Automation"
Jennifer Bonine,"tap|QA",,"Innovation: Evolving and Expanding Your Creative Capabilities"
Mike Sowers,"TechWell Corp.",,"Measurement and Metrics for Managers"
Julie Gardiner,"Hitachi Consulting",,"Getting Your Message Across: Communication Skills for Testers"
Gene Gotimer,"Coveros, Inc.",,"Virtualization and Containers for Automating Web Testing NEW"
Jim Westcott,"IDC",,"Reimagining QA in the Digital Era for Accelerated Agile Sprints"
Razia Moolla,"Rogers Communications",,"Reimagining QA in the Digital Era for Accelerated Agile Sprints"
Kirpal Shahani ,"TCS",,"Reimagining QA in the Digital Era for Accelerated Agile Sprints"
Jennifer Bonine,"tap|QA",,"Testing Leaders in the Digital Age: Are You Adapting?"
Alex Martins,"CA Technologies",,"Layered Model-Based Testing to Enable Continuous Quality"
Jane Fraser,"Anki, Inc.",,"Become an Influential Tester: Learn How to Be Heard"
Jeff "Cheezy" Morgan,"LeanDog",,"Test-Driven Everything-with Deliberate Collaboration"
Sammy Kolluru,"CSTB",,"High-Performance Agile Testing in Software Development"
Jennifer Bonine,"tap|QA",,"Mobile Untethered: Lessons Learned without Wires"
Rick Faulise,"tap | QA",,"Mobile Untethered: Lessons Learned without Wires"
Douglas Sanders,"Comcast",,"Quality-Driven Delivery in IT"
Florin Ursu,"Pong Studios",,"Mindmaps: Agile and Lightweight Documentation for Testing"
Syed Hossain,"QA Consultants",,"Performance Testing in Agile and DevOps Environments"
Pradeep Macharla,"Inmar Inc.",,"Addressing the Challenges of Mobile Test Automation"
Kirpal Shahani ,"TCS",,"Winning in the Digital Marketplace: Assuring Software Quality in a Fast-Moving DevOps World"
Prasad Mk,"TCS",,"Winning in the Digital Marketplace: Assuring Software Quality in a Fast-Moving DevOps World"
Tony Higgins,"Blueprint Software",,"When User Stories Are Not Enough"
Jeff Abshoff,"ANSYS Canada Ltd",,"Better Together: Group Exploratory Testing"
Michael Bolton,"DevelopSense",,"A Rapid Testing Approach to Test Automation"
Alexander Andelkovic,"King/Midasplayer AB",,"Using Artificial Intelligence to Test the Candy Crush Saga Game"
Michael Faulise,"tap | QA",,"Shifting Left - Evolution of Automation"
Mark Keating,"Dell",,"Dell's Journey to Achieve TMMi Level 3 Certification"
Peter M. Kruse,"Berner & Mattner Systemtechnik GmbH",,"Combinatorial Black-Box Testing with Classification Trees"
Chip Groder,"Intervise Consultants Inc.",,"Objects vs. Images: Choosing the Right GUI Test Tool Architecture"
Iuliia Zavertailo,"Itera Norge",,"Test Metrics in Agile: A Powerful Tool to Demonstrate Value"
Rob Sabourin,"amibug.com",,"Testers in Agile Teams-Isolation or Collaboration?"
Julie Gardiner,"Hitachi Consulting",,"Evolution-Not Revolution: Transforming Your Testing"
Jamie Moore,"Mobile Labs",,"Continuous Mobile Applications Delivery, Made Reality"
Tom Wissink,"Intervise, Inc.",,"Continuous Testing - The New Normal"
Adam Rosenberg,"Elephant Inc.",,"Test Design for Responsive Websites"
Matt Joste,"Ryerson University",,"How to Build a Fully Open Source Test Automation Framework"
David Best,"Inclusive Media Design",,"Accessibility Standards and Testing Techniques: Be Inclusive or Be Left Behind"
Sandy Feldman,"Inclusive Media Design",,"Accessibility Standards and Testing Techniques: Be Inclusive or Be Left Behind"
Rob Harvie,"Inclusive Media Design",,"Accessibility Standards and Testing Techniques: Be Inclusive or Be Left Behind"
Raj Bajracharya,"CGI",,"API Testing: Top 5 Myths"
Nir Szilagyi,"PayPal",,"Design for Testability in Practice"
Jerry Penner,"Waterloo Hydrogeologic",,"Sensible Test Automation"
Gene Gotimer,"Coveros, Inc.",,"Add Security Testing Tools to Your Delivery Pipeline"
Matthew Yeh,"Delphix",,"How to Deliver Secure, High Quality Test Data Faster Than Ever Before"
Gopal Brugalette ,"Concur Technologies",,"Build Your Open Source Performance Testing Platform in the Cloud"
Oscar Gracia,"AppFolio",,"Agile QA & Test: A Shift in Mindset from Finding to Preventing Bugs"
Todd Albers,"AppFolio",,"Agile QA & Test: A Shift in Mindset from Finding to Preventing Bugs"
Christine McGarry,"Magnet Forensics",,"Slowing Down to Speed Up:The Benefits of A Custom Automation Framework"
Rick Faulise,"tap | QA",,"IoT and Embedded Testing: A Roku Case Study"
Dwayne Forde,"Pivotal",,"The Future of Applications and Application Testing"
Jaimee Newberry,"MartianCraft",,"NoExcuses"
Julie Gardiner,"Hitachi Consulting",,"The 2016 Survival Guide for (Female) Testers"
Alison Wade,"TechWell Corp.",,"The Power of Collective Experience"
Tania Katan,"Axosoft",,"The United State of Women Summit: From Dreaming to Doing!"
Jennifer Bonine,"tap|QA",,"Building your Personal Brand for Success"
